alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,30.9293087493344,0.286382488419763,0.444444444444444,0.555555555555556,0.567973810576379,0,0,0,0
0,0,30.7471230864981,0.284695584134241,0.333333333333333,0.666666666666667,0.679321559908918,0,0,0,0
0,0,35.1602412252516,0.3255577891227,0.33,0.67,0.680781133522017,0,0,0,0
5,0.46,31.3140135767188,0.289944570154804,0.444444444444444,0.555555555555556,0.582849518471714,0.25,0.25,1,0.0740740740740741
10,0.436170212765957,30.679872361648,0.284072892237481,0.416666666666667,0.583333333333333,0.625381205040183,0.285714285714286,0.5,0.785714285714286,0.12962962962963
15,0.43956043956044,30.6809786538128,0.284083135683452,0.416666666666667,0.583333333333333,0.634456324100808,0.294117647058823,0.470588235294118,0.823529411764706,0.157407407407407
20,0.416666666666667,30.5234479778553,0.282624518313475,0.388888888888889,0.611111111111111,0.672936070029656,0.291666666666667,0.541666666666667,0.75,0.222222222222222
25,0.381578947368421,30.3943461322272,0.281429130853956,0.351851851851852,0.648148148148148,0.734345068316572,0.28125,0.59375,0.6875,0.296296296296296
30,0.381578947368421,30.1000328083078,0.278704007484332,0.351851851851852,0.648148148148148,0.734345068316572,0.28125,0.59375,0.6875,0.296296296296296
35,0.357142857142857,30.2674192651101,0.280253882084353,0.351851851851852,0.648148148148148,0.769013296621132,0.342105263157895,0.605263157894737,0.736842105263158,0.351851851851852
40,0.285714285714286,29.249238985116,0.270826286899222,0.314814814814815,0.685185185185185,0.823836941160315,0.355555555555556,0.666666666666667,0.688888888888889,0.416666666666667
45,0.244897959183674,30.5346026587045,0.282727802395412,0.314814814814815,0.685185185185185,0.871759680959723,0.372881355932203,0.610169491525424,0.76271186440678,0.546296296296296
50,0.244897959183674,30.5346026587045,0.282727802395412,0.314814814814815,0.685185185185185,0.871759680959723,0.372881355932203,0.610169491525424,0.76271186440678,0.546296296296296
55,0.244897959183674,30.4260645618278,0.281722820016925,0.314814814814815,0.685185185185185,0.871759680959723,0.372881355932203,0.610169491525424,0.76271186440678,0.546296296296296
60,0.255813953488372,30.5986869328544,0.283321175304207,0.314814814814815,0.685185185185185,0.878373258864092,0.353846153846154,0.569230769230769,0.784615384615385,0.601851851851852
65,0.27027027027027,29.9945984254231,0.277727763198362,0.305555555555556,0.694444444444444,0.889268727918035,0.323943661971831,0.535211267605634,0.788732394366197,0.657407407407407
70,0.178571428571429,29.3836399948599,0.272070740693148,0.305555555555556,0.694444444444444,0.939859015440572,0.35,0.5375,0.8125,0.740740740740741
75,0.148148148148148,28.929930441269,0.267869726308047,0.296296296296296,0.703703703703704,0.956007070895088,0.345679012345679,0.54320987654321,0.802469135802469,0.75
80,0.125,28.9590665676404,0.268139505255929,0.296296296296296,0.703703703703704,0.974655191304523,0.326086956521739,0.5,0.826086956521739,0.851851851851852
85,0.125,28.8647336203356,0.267266052040145,0.296296296296296,0.703703703703704,0.974655191304523,0.326086956521739,0.5,0.826086956521739,0.851851851851852
90,0.125,28.5881599533315,0.264705184753069,0.296296296296296,0.703703703703704,0.987989352345493,0.31,0.47,0.84,0.925925925925926
95,0,28.830768460017,0.266951559814972,0.296296296296296,0.703703703703704,0.999987649670548,0.304761904761905,0.457142857142857,0.847619047619048,0.972222222222222
100,NaN,26.7694697189022,0.247865460360206,0.296296296296296,0.703703703703704,0.999987649670548,0.296296296296296,0.444444444444444,0.851851851851852,1
