alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,3381.84549012186,0.50056919628802,0.375518058022498,0.624481941977502,0.504675519995025,0,0,0,0
0,0,3404.70682621412,0.503953053021629,0.359384251036116,0.640615748963884,0.513076697063534,0,0,0,0
0,0,2754.5819208618,0.407723789351954,0.347034096216721,0.652965903783279,0.508606915302664,0,0,0,0
5,0.366458658346334,3380.88390118929,0.500426865184915,0.356423919478982,0.643576080521018,0.536631553863722,0.170520231213873,0.543352601156069,0.627167630057804,0.0512137359384251
10,0.35899967094439,3364.02400378072,0.497931320867483,0.341918294849023,0.658081705150977,0.566544567730852,0.188790560471976,0.523598820058997,0.665191740412979,0.100355239786856
15,0.354253835425384,3347.98781044368,0.495557698407887,0.331113084665483,0.668886915334517,0.592796541321979,0.200980392156863,0.495098039215686,0.705882352941177,0.150976909413854
20,0.346367679762787,3312.36137809712,0.490284395810705,0.319123741859088,0.680876258140912,0.620507651953121,0.211029411764706,0.491176470588235,0.719852941176471,0.201302545885139
25,0.341892158799131,3290.68540118988,0.487075991887193,0.309058614564831,0.690941385435169,0.643158381419593,0.210868281157708,0.476077968103957,0.734790313053751,0.250592066311427
30,0.338057964882589,3264.25440155778,0.483163765772317,0.298105387803434,0.701894612196566,0.664240703919538,0.205027106949236,0.462789551503204,0.742237555446033,0.300325636471285
35,0.33614210885903,3254.29404818736,0.481689468352185,0.287596210775607,0.712403789224393,0.686332455478416,0.197463002114165,0.448625792811839,0.748837209302326,0.350059206631143
40,0.342827816268925,3268.80001034786,0.483836591229701,0.276494967436353,0.723505032563647,0.706745875073212,0.186079048618398,0.420076949982511,0.766002098635887,0.423179396092362
45,0.34880410022779,3283.88487246108,0.48606940089714,0.268798105387803,0.731201894612197,0.722076127481388,0.182182490752158,0.404438964241677,0.777743526510481,0.4801657785672
50,0.345616641901932,3269.79830266364,0.483984355041984,0.263321492007105,0.736678507992895,0.734287367939386,0.181657328221764,0.405190209377765,0.776467118843999,0.501924215512137
55,0.350588235294118,3276.7171531363,0.485008459611648,0.254736530491415,0.745263469508585,0.753567790092669,0.179317640835758,0.39513356254959,0.784184078286168,0.559650680876258
60,0.348184200673905,3236.60710770836,0.479071507949727,0.247039668442866,0.752960331557134,0.77594076704249,0.180905752753978,0.393390452876377,0.787515299877601,0.604647720544701
65,0.370405727923628,3260.42260202663,0.482596595918684,0.236382474837182,0.763617525162818,0.800790342705552,0.17614245869985,0.377815919330616,0.798326539369234,0.689905269390172
70,0.372964972866305,3256.24041238699,0.481977562520276,0.234310242747188,0.765689757252812,0.804427158291124,0.1748784098118,0.376612391626137,0.798266018185663,0.699970396684429
75,0.354029850746269,3170.55865467814,0.469295241959465,0.223505032563647,0.776494967436353,0.84077594672327,0.180476284196024,0.382601850029522,0.797874434166503,0.752072232089994
80,0.393759286775632,3211.44006421595,0.47534636829721,0.220248667850799,0.779751332149201,0.853850465679511,0.177079482439926,0.37097966728281,0.806099815157116,0.800769686204855
85,0.451059535822402,3220.86105215522,0.47674083069201,0.21343990526939,0.78656009473061,0.870352269952044,0.172593235039029,0.362532523850824,0.810060711188205,0.85331557134399
90,0.467164179104478,3126.0583978806,0.462708466234547,0.203670811130847,0.796329188869153,0.903922121902519,0.174663161353927,0.365428853105488,0.809234308248439,0.900828892835998
95,0.540059347181009,2869.11179447703,0.424676109306843,0.19360568383659,0.80639431616341,0.939714125519794,0.175416731578127,0.366879576257984,0.808537155320143,0.950118413262285
100,NaN,2721.79985114533,0.402871499577462,0.181764357608052,0.818235642391948,0.999999897696581,0.181764357608052,0.375518058022499,0.806246299585554,1
