alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,36.8425595467594,0.433441877020699,0.494117647058824,0.505882352941176,0.497718715913043,0,0,0,0
0,0,40.0261729270714,0.470896152083193,0.482352941176471,0.517647058823529,0.493341743844592,0,0,0,0
0,0,40.978528354315,0.482100333580176,0.476190476190476,0.523809523809524,0.493341743844592,0,0,0,0
5,0.534246575342466,36.8181897482256,0.433155173508537,0.470588235294118,0.529411764705882,0.522977369143601,0.0833333333333334,0.25,0.833333333333333,0.141176470588235
10,0.534246575342466,36.8181897482256,0.433155173508537,0.470588235294118,0.529411764705882,0.522977369143601,0.0833333333333334,0.25,0.833333333333333,0.141176470588235
15,0.52112676056338,36.6492333126226,0.431167450736736,0.447058823529412,0.552941176470588,0.539979409521034,0.0714285714285714,0.357142857142857,0.714285714285714,0.164705882352941
20,0.529411764705882,36.7667270535663,0.432549730041957,0.447058823529412,0.552941176470588,0.54984089799107,0.117647058823529,0.352941176470588,0.764705882352941,0.2
25,0.526315789473684,34.3470529521217,0.404082975907315,0.411764705882353,0.588235294117647,0.602916768834657,0.178571428571429,0.428571428571429,0.75,0.329411764705882
30,0.526315789473684,34.3470529521217,0.404082975907315,0.411764705882353,0.588235294117647,0.602916768834657,0.178571428571429,0.428571428571429,0.75,0.329411764705882
35,0.555555555555556,34.8549325672683,0.410058030203157,0.411764705882353,0.588235294117647,0.602916768834657,0.161290322580645,0.387096774193548,0.774193548387097,0.364705882352941
40,0.529411764705882,33.3230856482815,0.392036301744488,0.4,0.6,0.624659677208509,0.205882352941177,0.441176470588235,0.764705882352941,0.4
45,0.531914893617021,32.1545532271575,0.378288861495971,0.4,0.6,0.640942802925971,0.236842105263158,0.447368421052632,0.789473684210526,0.447058823529412
50,0.547619047619048,31.4204908612695,0.369652833661994,0.376470588235294,0.623529411764706,0.664241105473054,0.209302325581395,0.441860465116279,0.767441860465116,0.505882352941176
55,0.583333333333333,30.9161035394975,0.363718865170559,0.352941176470588,0.647058823529412,0.693654558870128,0.183673469387755,0.428571428571429,0.755102040816326,0.576470588235294
60,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
65,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
70,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
75,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
80,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
85,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
90,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
95,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
100,NaN,26.3316637543532,0.309784279462979,0.282352941176471,0.717647058823529,0.999990931356693,0.282352941176471,0.494117647058824,0.788235294117647,1
