alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,50.842956483217,0.391099665255515,0.523076923076923,0.476923076923077,0.484400949318206,0,0,0,0
0,0,57.4275494919004,0.441750380706926,0.523076923076923,0.476923076923077,0.480909161573653,0,0,0,0
0,0,47.6137110467746,0.36625931574442,0.5,0.5,0.470386727740751,0,0,0,0
5,0.530612244897959,50.8455579895966,0.391119676843051,0.507692307692308,0.492307692307692,0.556419570996317,0.4375,0.5,0.9375,0.246153846153846
10,0.530612244897959,50.8455579895966,0.391119676843051,0.507692307692308,0.492307692307692,0.556419570996317,0.4375,0.5,0.9375,0.246153846153846
15,0.530612244897959,50.8455579895966,0.391119676843051,0.507692307692308,0.492307692307692,0.556419570996317,0.4375,0.5,0.9375,0.246153846153846
20,0.530612244897959,50.8455579895966,0.391119676843051,0.507692307692308,0.492307692307692,0.556419570996317,0.4375,0.5,0.9375,0.246153846153846
25,0.520833333333333,50.5385387642733,0.38875799049441,0.5,0.5,0.565599048650922,0.441176470588235,0.529411764705882,0.911764705882353,0.261538461538462
30,0.494505494505495,50.9200447689118,0.391692652068552,0.492307692307692,0.507692307692308,0.592136381705437,0.487179487179487,0.58974358974359,0.897435897435897,0.3
35,0.464285714285714,50.3034239727429,0.386949415174946,0.484615384615385,0.515384615384615,0.631123507383423,0.521739130434783,0.630434782608696,0.891304347826087,0.353846153846154
40,0.476190476190476,48.8032946228417,0.375409958637244,0.461538461538462,0.538461538461538,0.707160633202125,0.447761194029851,0.567164179104478,0.880597014925373,0.515384615384615
45,0.476190476190476,48.8032946228417,0.375409958637244,0.461538461538462,0.538461538461538,0.707160633202125,0.447761194029851,0.567164179104478,0.880597014925373,0.515384615384615
50,0.476190476190476,48.8032946228417,0.375409958637244,0.461538461538462,0.538461538461538,0.707160633202125,0.447761194029851,0.567164179104478,0.880597014925373,0.515384615384615
55,0.46551724137931,47.2927237117077,0.363790182397751,0.461538461538462,0.538461538461538,0.728821619959728,0.458333333333333,0.569444444444444,0.888888888888889,0.553846153846154
60,0.477272727272727,44.9147924459392,0.345498403430302,0.453846153846154,0.546153846153846,0.772366764577398,0.441860465116279,0.546511627906977,0.895348837209302,0.661538461538462
65,0.477272727272727,44.9147924459392,0.345498403430302,0.453846153846154,0.546153846153846,0.772366764577398,0.441860465116279,0.546511627906977,0.895348837209302,0.661538461538462
70,0.514285714285714,44.2934087734535,0.340718529026565,0.446153846153846,0.553846153846154,0.799150274405513,0.421052631578947,0.526315789473684,0.894736842105263,0.730769230769231
75,0.5625,43.6113561440683,0.335471970338987,0.446153846153846,0.553846153846154,0.799150274405513,0.408163265306122,0.510204081632653,0.897959183673469,0.753846153846154
80,0.538461538461538,41.07699179982,0.315976859998615,0.438461538461538,0.561538461538462,0.838086996560046,0.413461538461538,0.519230769230769,0.894230769230769,0.8
85,NaN,35.9410590615705,0.276469685089004,0.430769230769231,0.569230769230769,0.999994095951361,0.430769230769231,0.523076923076923,0.907692307692308,1
90,NaN,35.9410590615705,0.276469685089004,0.430769230769231,0.569230769230769,0.999994095951361,0.430769230769231,0.523076923076923,0.907692307692308,1
95,NaN,35.9410590615705,0.276469685089004,0.430769230769231,0.569230769230769,0.999994095951361,0.430769230769231,0.523076923076923,0.907692307692308,1
100,NaN,35.9410590615705,0.276469685089004,0.430769230769231,0.569230769230769,0.999994095951361,0.430769230769231,0.523076923076923,0.907692307692308,1
