alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,7.01342227788154,0.0649390951655698,0.0925925925925926,0.907407407407407,0.916132194106371,0,0,0,0
0,0,7.01342227788154,0.0649390951655698,0.0925925925925926,0.907407407407407,0.916132194106371,0,0,0,0
0,0,8.50912799060062,0.0787882221351909,0.0761904761904761,0.923809523809524,0.914171883924491,0,0,0,0
5,0.0970873786407767,7.0869131555074,0.0656195662546982,0.0925925925925926,0.907407407407407,0.916132194106371,0,0,1,0.0462962962962963
10,0.0459770114942529,6.32288898123527,0.058545268344771,0.0833333333333334,0.916666666666667,0.962335569977353,0.238095238095238,0.285714285714286,0.952380952380952,0.194444444444444
15,0.0459770114942529,6.32288898123527,0.058545268344771,0.0833333333333334,0.916666666666667,0.962335569977353,0.238095238095238,0.285714285714286,0.952380952380952,0.194444444444444
20,0.0348837209302325,6.37268769124888,0.0590063675115637,0.0833333333333334,0.916666666666667,0.970445041983631,0.272727272727273,0.318181818181818,0.954545454545455,0.203703703703704
25,0.0370370370370371,5.7530389945993,0.0532688795796231,0.0833333333333334,0.916666666666667,0.970445041983631,0.222222222222222,0.259259259259259,0.962962962962963,0.25
30,0.0416666666666666,5.80553299867745,0.0537549351729393,0.0833333333333334,0.916666666666667,0.970445041983631,0.166666666666667,0.194444444444444,0.972222222222222,0.333333333333333
35,0.0285714285714286,5.03923893588779,0.0466596197767387,0.0833333333333334,0.916666666666667,0.979283894766009,0.184210526315789,0.210526315789474,0.973684210526316,0.351851851851852
40,0.0338983050847458,6.41503580425601,0.0593984796690371,0.0833333333333334,0.916666666666667,0.979283894766009,0.142857142857143,0.163265306122449,0.979591836734694,0.453703703703704
45,0.0338983050847458,6.40645812799691,0.0593190567407121,0.0833333333333334,0.916666666666667,0.979283894766009,0.142857142857143,0.163265306122449,0.979591836734694,0.453703703703704
50,0.0408163265306123,6.72557708573428,0.062273861904947,0.0833333333333334,0.916666666666667,0.979283894766009,0.11864406779661,0.135593220338983,0.983050847457627,0.546296296296296
55,0.0408163265306123,6.71460519850683,0.0621722703565447,0.0833333333333334,0.916666666666667,0.979283894766009,0.11864406779661,0.135593220338983,0.983050847457627,0.546296296296296
60,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
65,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
70,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
75,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
80,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
85,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
90,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
95,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
100,NaN,10.86119750123,0.100566643529907,0.0740740740740741,0.925925925925926,0.999990920397494,0.0740740740740741,0.0925925925925926,0.981481481481482,1
