alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,1646.07586837272,0.243646516929059,0.196121965660154,0.803878034339846,0.643978728231188,0,0,0,0
0,0,1665.54681897574,0.246528540404935,0.183688573120189,0.816311426879811,0.649691355090607,0,0,0,0
0,0,1356.56526171571,0.200794147678465,0.173149689723021,0.826850310276979,0.647347935798354,0,0,0,0
5,0.178722074675832,1639.85961236533,0.242726407987763,0.179988158673771,0.820011841326229,0.687539386486874,0.202816901408451,0.509859154929577,0.692957746478873,0.0525458851391356
10,0.163651315789474,1608.22939992078,0.238044612184841,0.166814683244523,0.833185316755477,0.722337174763243,0.195266272189349,0.488165680473373,0.707100591715976,0.100059206631143
15,0.152666434297665,1599.85073818341,0.236804431347456,0.158673771462404,0.841326228537596,0.751491590103896,0.192534381139489,0.441060903732809,0.75147347740668,0.150680876258141
20,0.14126601076666,1593.85753923579,0.235917338548815,0.149496743635287,0.850503256364713,0.778995553188266,0.181884587289993,0.411979547114682,0.76990504017531,0.20263469508585
25,0.133346503358356,1591.71952396535,0.235600876845078,0.143428063943162,0.856571936056838,0.798193018187016,0.173553719008264,0.38370720188902,0.789846517119244,0.250740082889284
30,0.119737677173683,1572.42518644702,0.232744995033603,0.134695085849615,0.865304914150385,0.824768828355614,0.169541646131099,0.374075899457861,0.795465746673238,0.300325636471285
35,0.111947104423165,1568.64145682823,0.232184940323894,0.128478389579633,0.871521610420367,0.842667430846209,0.159071729957806,0.351898734177215,0.807172995780591,0.350799289520426
40,0.106136820925553,1613.84052933091,0.238875152358039,0.122409709887507,0.877590290112493,0.857561659563411,0.14568345323741,0.324820143884892,0.820863309352518,0.411486086441681
45,0.102881766765419,1623.72364730054,0.240338017658457,0.11959739490823,0.88040260509177,0.866437849983027,0.139993427538613,0.309891554387118,0.830101873151495,0.450414446417999
50,0.0949970220369267,1643.02802100547,0.243195384991929,0.115156897572528,0.884843102427472,0.883630121122692,0.135079458505003,0.29605650382578,0.839022954679223,0.502960331557134
55,0.0941408821593154,1685.3748904668,0.24946342369254,0.113380698638248,0.886619301361752,0.892372126851139,0.129101667563206,0.279451317912856,0.84965034965035,0.550325636471285
60,0.0989717223650386,1840.61256105044,0.272441172446779,0.109384251036116,0.890615748963884,0.908111765958567,0.114880144730891,0.247399366802352,0.867480777928539,0.654529307282416
65,0.0989717223650386,1840.61256105044,0.272441172446779,0.109384251036116,0.890615748963884,0.908111765958567,0.114880144730891,0.247399366802352,0.867480777928539,0.654529307282416
70,0.102215508559919,1912.54524024603,0.283088401457376,0.106571936056838,0.893428063943162,0.919312257141652,0.108385744234801,0.235220125786164,0.873165618448637,0.706039076376554
75,0.109857482185273,1962.92679026011,0.290545706077578,0.105535820011841,0.894464179988159,0.92582952054456,0.10410094637224,0.224763406940063,0.879337539432177,0.750740082889284
80,0.128682170542636,2061.82796320872,0.305184719243446,0.104055654233274,0.895944345766726,0.933982672328801,0.0982436882546652,0.212038053421149,0.886205634833516,0.809058614564831
85,0.182548794489093,2185.40141156,0.323475638182357,0.103167554766134,0.896832445233866,0.936772128329033,0.0914188615123195,0.198130841121495,0.893288020390824,0.871077560686797
90,NaN,2227.50500936473,0.329707668644868,0.0913262285375962,0.908673771462404,0.999999868421987,0.0913262285375962,0.196121965660154,0.895204262877442,1
95,NaN,2227.50500936473,0.329707668644868,0.0913262285375962,0.908673771462404,0.999999868421987,0.0913262285375962,0.196121965660154,0.895204262877442,1
100,NaN,2227.50500936473,0.329707668644868,0.0913262285375962,0.908673771462404,0.999999868421987,0.0913262285375962,0.196121965660154,0.895204262877442,1
