alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,233.22210633034,0.381081873088791,0.441176470588235,0.558823529411765,0.457482411837235,0,0,0,0
0,0,244.989202848089,0.400309154980537,0.42156862745098,0.57843137254902,0.481692876984809,0,0,0,0
0,0,216.329794235286,0.353480055940009,0.4,0.6,0.491511825419344,0,0,0,0
5,0.414802065404475,230.103504721827,0.375986118826515,0.419934640522876,0.580065359477124,0.500008934432176,0.516129032258065,0.935483870967742,0.580645161290323,0.0506535947712418
10,0.404371584699454,230.321915158994,0.376342998625807,0.413398692810457,0.586601307189543,0.525016117647124,0.492063492063492,0.761904761904762,0.73015873015873,0.102941176470588
15,0.390384615384615,222.371018783905,0.363351337882197,0.410130718954248,0.589869281045752,0.548721011246173,0.521739130434783,0.728260869565217,0.793478260869565,0.150326797385621
20,0.385245901639344,221.129603481982,0.361322881506507,0.406862745098039,0.593137254901961,0.567227726240775,0.491935483870968,0.661290322580645,0.830645161290323,0.202614379084967
25,0.379385964912281,220.872218940719,0.360902318530587,0.400326797385621,0.599673202614379,0.588364462957198,0.461538461538462,0.621794871794872,0.83974358974359,0.254901960784314
30,0.355140186915888,212.954301015047,0.347964544142234,0.380718954248366,0.619281045751634,0.632410895660771,0.440217391304348,0.641304347826087,0.798913043478261,0.300653594771242
35,0.341708542713568,211.409753933803,0.345440774401639,0.377450980392157,0.622549019607843,0.65352385554172,0.44392523364486,0.626168224299065,0.817757009345794,0.349673202614379
40,0.351648351648352,209.959050008572,0.343070343151262,0.374183006535948,0.625816993464052,0.664881728728906,0.407258064516129,0.57258064516129,0.834677419354839,0.405228758169935
45,0.400641025641026,212.240519866799,0.34679823507647,0.372549019607843,0.627450980392157,0.670011752004414,0.343333333333333,0.483333333333333,0.86,0.490196078431373
50,0.392156862745098,210.260883248344,0.343563534719517,0.372549019607843,0.627450980392157,0.679000159453178,0.352941176470588,0.490196078431373,0.862745098039216,0.5
55,0.383211678832117,206.887926503895,0.338052167490024,0.366013071895425,0.633986928104575,0.70709135130386,0.35207100591716,0.488165680473373,0.863905325443787,0.552287581699346
60,0.389344262295082,205.268044758964,0.335405301893732,0.359477124183007,0.640522875816993,0.728117938390587,0.339673913043478,0.47554347826087,0.864130434782609,0.601307189542484
65,0.406542056074766,201.991760415101,0.330051896103106,0.357843137254902,0.642156862745098,0.744644323729119,0.331658291457286,0.459798994974874,0.871859296482412,0.650326797385621
70,0.441988950276243,200.32633756106,0.327330616929837,0.352941176470588,0.647058823529412,0.759725847078542,0.31554524361949,0.440835266821346,0.874709976798144,0.704248366013072
75,NaN,172.571996569544,0.281980386551543,0.321895424836601,0.678104575163399,0.999997407969945,0.321895424836601,0.441176470588235,0.880718954248366,1
80,NaN,172.571996569544,0.281980386551543,0.321895424836601,0.678104575163399,0.999997407969945,0.321895424836601,0.441176470588235,0.880718954248366,1
85,NaN,172.571996569544,0.281980386551543,0.321895424836601,0.678104575163399,0.999997407969945,0.321895424836601,0.441176470588235,0.880718954248366,1
90,NaN,172.571996569544,0.281980386551543,0.321895424836601,0.678104575163399,0.999997407969945,0.321895424836601,0.441176470588235,0.880718954248366,1
95,NaN,172.571996569544,0.281980386551543,0.321895424836601,0.678104575163399,0.999997407969945,0.321895424836601,0.441176470588235,0.880718954248366,1
100,NaN,172.571996569544,0.281980386551543,0.321895424836601,0.678104575163399,0.999997407969945,0.321895424836601,0.441176470588235,0.880718954248366,1
