alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,17.7053673922633,0.178842094871347,0.151515151515151,0.848484848484849,0.859185272181007,0,0,0,0
0,0,18.8331054626416,0.190233388511532,0.141414141414141,0.858585858585859,0.860232455405449,0,0,0,0
0,0,14.8710819990239,0.15021294948509,0.123711340206186,0.876288659793814,0.859683278038072,0,0,0,0
5,0.150537634408602,18.0551388967961,0.182375140371677,0.141414141414141,0.858585858585859,0.866913446124841,0,0.166666666666667,0.833333333333333,0.0606060606060606
10,0.134831460674157,18.1862192742558,0.183699184588443,0.141414141414141,0.858585858585859,0.882871733541145,0.2,0.3,0.9,0.101010101010101
15,0.119047619047619,17.6087767677884,0.177866431997863,0.141414141414141,0.858585858585859,0.899759322653391,0.266666666666667,0.333333333333333,0.933333333333333,0.151515151515152
20,0.0897435897435898,17.323197174129,0.174981789637667,0.141414141414141,0.858585858585859,0.922893454786282,0.333333333333333,0.380952380952381,0.952380952380952,0.212121212121212
25,0.0704225352112676,16.711960662436,0.168807683458949,0.141414141414141,0.858585858585859,0.943097762492131,0.321428571428571,0.357142857142857,0.964285714285714,0.282828282828283
30,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
35,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
40,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
45,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
50,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
55,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
60,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
65,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
70,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
75,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
80,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
85,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
90,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
95,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
100,NaN,17.5787924101104,0.177563559698085,0.141414141414141,0.858585858585859,0.999986443195799,0.141414141414141,0.151515151515152,0.98989898989899,1
