alpha,确定性判断的错误率,决策总代价,平均代价,综合错误率,正确率,f1,边界域错误率,边界域首选项错误率,边界域次选项错误率,边界域比例
0,0,1646.67415776468,0.243735073677425,0.201154529307282,0.798845470692718,0.647864505772987,0,0,0,0
0,0,1676.48159389075,0.248147068367488,0.187833037300178,0.812166962699822,0.65622504015512,0,0,0,0
0,0,1386.82938597199,0.20527373978271,0.178695717960357,0.821304282039643,0.651966936817163,0,0,0,0
5,0.181832346525397,1636.43540809229,0.242219568989385,0.182800473653049,0.817199526346951,0.690382112288455,0.201183431952663,0.568047337278107,0.633136094674556,0.0500296033155713
10,0.165981246915611,1595.25240339975,0.236123801568939,0.169626998223801,0.830373001776199,0.728219450543006,0.202363367799114,0.51698670605613,0.685376661742984,0.100207223208999
15,0.153604468493629,1564.30021155546,0.231542364054982,0.158969804618117,0.841030195381883,0.75841244667978,0.18889970788705,0.466407010710808,0.722492697176241,0.152013025458851
20,0.141614216956683,1556.52219739083,0.230391089015813,0.150680876258141,0.849319123741859,0.784470043614961,0.18685376661743,0.438700147710487,0.748153618906942,0.200414446417999
25,0.130108588351431,1546.30582411682,0.228878896405686,0.144020130254588,0.855979869745412,0.808358335736589,0.18568894145476,0.413956238911886,0.771732702542874,0.250296033155713
30,0.120229007633588,1548.24436421545,0.229165832477124,0.135731201894612,0.864268798105388,0.831910863075262,0.17156862745098,0.388235294117647,0.783333333333333,0.301953818827709
35,0.113839798026165,1564.2459298311,0.231534329459902,0.12951450562463,0.87048549437537,0.847387880231116,0.157982492705294,0.359733222175907,0.798249270529387,0.355091770278271
40,0.108938547486033,1607.90763597396,0.237996985786554,0.123889875666075,0.876110124333925,0.862947753956076,0.144783534421576,0.330021291696238,0.814762242725337,0.417110716400237
45,0.107845780533837,1629.42847283618,0.241182426411513,0.12181764357608,0.87818235642392,0.869697858488415,0.138825073843124,0.314735805710535,0.824089268132589,0.451006512729426
50,0.10284528749259,1650.65354331893,0.244324088709138,0.116933096506809,0.883066903493191,0.883158812853652,0.130987581312833,0.299231224127735,0.831756357185098,0.500592066311427
55,0.100856954515491,1702.2330420711,0.251958709601998,0.115008880994671,0.884991119005329,0.89434649806906,0.126544868350349,0.282912412681354,0.843632455668995,0.550917702782712
60,0.103896103896104,1760.0909546937,0.260522639830328,0.112936648904677,0.887063351095323,0.900369197734374,0.11893622260527,0.265698103915292,0.853238118689978,0.60109532267614
65,0.111981566820276,1878.44010837477,0.27804027655044,0.109532267613973,0.890467732386027,0.909069069242249,0.108373310074139,0.243349324029655,0.865023986044483,0.678804026050918
70,0.107814045499505,1890.60025443513,0.279840179756533,0.107904085257549,0.892095914742451,0.919287046271399,0.10794254330376,0.241022391212505,0.866920152091255,0.700710479573712
75,0.121356335514575,1957.29598850782,0.289712254071614,0.106719952634695,0.893280047365305,0.923750175359866,0.101871921182266,0.227586206896552,0.874285714285714,0.751184132622854
80,0.141685309470544,2042.44702622223,0.302316019275049,0.105535820011841,0.894464179988159,0.928622668587079,0.0965835641735919,0.215881809787627,0.880701754385965,0.801509769094139
85,0.20561797752809,2172.74264080619,0.321601930255504,0.104943753700414,0.895056246299586,0.931092440209629,0.0896692806000682,0.200477326968974,0.889191953631094,0.868265245707519
90,NaN,2228.78432496663,0.329897028562261,0.0880698638247484,0.911930136175252,0.999999878545765,0.0880698638247484,0.201154529307282,0.886915334517466,1
95,NaN,2228.78432496663,0.329897028562261,0.0880698638247484,0.911930136175252,0.999999878545765,0.0880698638247484,0.201154529307282,0.886915334517466,1
100,NaN,2228.78432496663,0.329897028562261,0.0880698638247484,0.911930136175252,0.999999878545765,0.0880698638247484,0.201154529307282,0.886915334517466,1
